year,total_death,Jews_and_others_total_death,Arabs_total_death
2001,114,107,7
2001,111,102,9
2001,106,89,17
2001,138,129,9
2001,97,83,14
2001,94,84,10
2001,119,110,9
2001,118,105,13
2001,102,87,15
2001,118,107,11
2001,125,112,13
2001,113,100,13
2001,113,99,14
2001,98,87,11
2001,121,113,8
2001,132,121,11
2001,109,92,17
2001,108,98,10
2001,120,108,12
2001,114,104,10
2001,110,103,7
2001,112,102,10
2001,106,93,13
2002,119,105,14
2002,106,95,11
2002,111,98,13
2002,104,95,9
2002,107,92,15
2002,133,114,19
2002,140,126,14
2002,126,114,12
2002,134,114,20
2002,137,121,16
2002,118,109,9
2002,110,99,11
2002,124,109,15
2002,111,97,14
2002,132,121,11
2002,130,118,12
2002,125,110,15
2002,130,115,15
2002,119,111,8
2002,145,133,12
2002,150,138,12
2002,146,131,15
2002,140,126,14
2002,140,125,15
2002,129,118,11
2002,142,133,9
2002,143,133,10
2002,148,138,10
2002,168,149,19
2002,136,121,15
2002,141,124,17
2002,145,130,15
2002,135,122,13
2002,149,137,12
2002,134,124,10
2002,152,137,15
2002,167,147,20
2002,135,122,13
2002,167,154,13
2002,156,144,12
2002,135,121,14
2002,123,113,10
2002,136,124,12
2002,139,130,9
2002,124,118,6
2002,122,110,12
2002,128,121,7
2002,127,116,11
2002,122,114,8
2002,116,107,9
2002,109,96,13
2002,138,128,10
2002,139,128,11
2002,112,103,9
2002,123,113,10
2002,123,109,14
2002,94,85,9
2002,103,93,10
2002,128,111,17
2002,112,105,7
2002,114,107,7
2002,133,126,7
2002,142,134,8
2002,112,93,19
2002,104,89,15
2002,122,104,18
2002,123,109,14
2002,113,96,17
2002,117,106,11
2002,114,102,12
2002,126,114,12
2002,102,94,8
2002,117,101,16
2002,103,95,8
2002,112,98,14
2002,110,97,13
2002,114,101,13
2002,99,95,4
2002,102,91,11
2002,110,99,11
2002,103,94,9
2002,101,88,13
2002,103,92,11
2002,108,95,13
2002,103,87,16
2002,112,106,6
2002,115,107,8
2002,86,79,7
2002,84,73,11
2002,115,106,9
2002,120,109,11
2002,105,98,7
2002,99,86,13
2002,128,118,10
2002,99,95,4
2002,100,89,11
2002,100,92,8
2002,126,114,12
2002,127,117,10
2002,110,100,10
2002,115,104,11
2002,119,104,15
2002,95,84,11
2002,121,110,11
2002,120,109,11
2002,111,105,6
2002,96,88,8
2002,110,102,8
2002,87,78,9
2002,89,81,8
2002,96,81,15
2002,103,93,10
2002,101,86,15
2002,93,85,8
2002,91,78,13
2002,92,85,7
2002,70,63,7
2002,85,71,14
2002,85,75,10
2002,73,61,12
2002,110,100,10
2002,88,83,5
2002,109,94,15
2002,98,90,8
2002,87,76,11
2002,107,92,15
2002,116,105,11
2002,87,83,4
2002,91,81,10
2002,82,65,17
2002,93,85,8
2002,98,82,16
2002,106,93,13
2002,90,83,7
2002,101,90,11
2002,89,78,11
2002,103,96,7
2002,99,89,10
2002,125,111,14
2002,89,81,8
2002,94,84,10
2002,98,90,8
2002,99,89,10
2002,74,67,7
2002,90,81,9
2002,112,101,11
2002,112,102,10
2002,120,112,8
2002,106,98,8
2002,89,85,4
2002,90,82,8
2002,91,79,12
2002,85,76,9
2002,107,102,5
2002,93,86,7
2002,141,125,16
2002,85,77,8
2002,90,80,10
2002,100,89,11
2002,91,77,14
2002,125,117,8
2002,102,96,6
2002,96,85,11
2002,99,84,15
2002,107,91,16
2002,87,77,10
2002,88,82,6
2002,83,71,12
2002,98,90,8
2002,119,110,9
2002,103,91,12
2002,92,89,3
2002,98,94,4
2002,84,77,7
2002,98,89,9
2002,86,78,8
2002,106,92,14
2002,84,75,9
2002,89,83,6
2002,88,83,5
2002,98,92,6
2002,79,72,7
2002,100,85,15
2002,104,93,11
2002,80,71,9
2002,97,88,9
2002,83,75,8
2002,91,88,3
2002,84,76,8
2002,86,77,9
2002,67,62,5
2002,93,77,16
2002,84,72,12
2002,77,71,6
2002,87,81,6
2002,101,94,7
2002,94,87,7
2002,115,104,11
2002,98,91,7
2002,95,87,8
2002,98,83,15
2002,106,95,11
2002,91,88,3
2002,98,86,12
2002,88,76,12
2002,110,99,11
2002,98,89,9
2002,78,67,11
2002,96,89,7
2002,97,83,14
2002,125,114,11
2002,94,88,6
2002,119,105,14
2002,86,80,6
2002,106,100,6
2002,111,97,14
2002,113,100,13
2002,108,103,5
2002,110,99,11
2002,105,91,14
2002,110,104,6
2002,97,91,6
2002,88,82,6
2002,78,70,8
2002,93,86,7
2002,119,109,10
2002,97,89,8
2002,92,82,10
2002,106,97,9
2002,90,83,7
2002,93,83,10
2002,86,75,11
2002,84,77,7
2002,101,90,11
2002,83,73,10
2002,97,85,12
2002,92,85,7
2002,110,100,10
2002,108,94,14
2002,103,90,13
2002,89,79,10
2002,83,75,8
2002,84,75,9
2002,102,94,8
2002,79,73,6
2002,86,80,6
2002,96,88,8
2002,87,78,9
2002,112,95,17
2002,79,73,6
2002,81,76,5
2002,103,97,6
2002,101,90,11
2002,115,103,12
2002,99,85,14
2002,93,84,9
2002,90,75,15
2002,92,83,9
2002,91,78,13
2002,100,90,10
2002,112,100,12
2002,113,105,8
2002,95,88,7
2002,87,73,14
2002,110,101,9
2002,95,88,7
2002,92,87,5
2002,83,81,2
2002,104,97,7
2002,80,75,5
2002,91,85,6
2002,115,106,9
2002,105,102,3
2002,95,88,7
2002,116,110,6
2002,80,71,9
2002,102,90,12
2002,116,105,11
2002,105,98,7
2002,101,86,15
2002,80,74,6
2002,89,80,9
2002,85,77,8
2002,102,90,12
2002,94,87,7
2002,98,87,11
2002,85,79,6
2002,92,81,11
2002,98,88,10
2002,97,88,9
2002,104,100,4
2002,93,85,8
2002,104,96,8
2002,117,107,10
2002,81,71,10
2002,77,65,12
2002,88,83,5
2002,92,82,10
2002,86,79,7
2002,112,101,11
2002,97,88,9
2002,85,76,9
2002,84,79,5
2002,90,80,10
2002,90,83,7
2002,86,76,10
2002,104,98,6
2002,116,106,10
2002,92,84,8
2002,112,103,9
2002,86,82,4
2002,116,106,10
2002,101,89,12
2002,104,91,13
2002,101,86,15
2002,109,100,9
2002,78,73,5
2002,99,91,8
2002,110,98,12
2002,95,82,13
2002,114,103,11
2002,98,89,9
2002,104,94,10
2002,102,94,8
2002,120,109,11
2002,119,104,15
2002,101,91,10
2002,98,96,2
2002,87,78,9
2002,101,91,10
2002,115,101,14
2002,101,94,7
2002,116,104,12
2002,101,89,12
2002,112,101,11
2002,94,84,10
2002,121,108,13
2002,107,99,8
2002,110,97,13
2002,110,97,13
2002,100,89,11
2002,102,90,12
2002,100,88,12
2002,85,77,8
2002,110,104,6
2002,99,85,14
2002,101,92,9
2002,89,86,3
2002,87,79,8
2002,81,71,10
2002,119,104,15
2002,116,100,16
2002,97,91,6
2002,109,101,8
2002,101,92,9
2002,128,116,12
2002,110,100,10
2002,128,122,6
2002,116,98,18
2002,118,107,11
2002,114,106,8
2002,90,84,6
2002,103,94,9
2002,117,108,9
2002,120,108,12
2003,119,105,14
2003,104,93,11
2003,104,95,9
2003,117,106,11
2003,141,129,12
2003,139,125,14
2003,122,108,14
2003,117,107,10
2003,100,89,11
2003,102,91,11
2003,115,107,8
2003,126,116,10
2003,126,111,15
2003,125,113,12
2003,122,114,8
2003,98,91,7
2003,110,102,8
2003,105,93,12
2003,89,76,13
2003,115,107,8
2003,118,103,15
2003,112,105,7
2003,115,100,15
2003,111,100,11
2003,109,98,11
2003,109,101,8
2003,110,103,7
2003,111,98,13
2003,107,102,5
2003,110,100,10
2003,116,107,9
2003,114,107,7
2003,112,98,14
2003,107,95,12
2003,135,125,10
2003,113,103,10
2003,115,107,8
2003,101,92,9
2003,103,87,16
2003,110,101,9
2003,128,117,11
2003,134,124,10
2003,121,104,17
2003,119,111,8
2003,141,123,18
2003,127,117,10
2003,111,97,14
2003,121,110,11
2003,119,110,9
2003,112,95,17
2003,146,136,10
2003,110,101,9
2003,106,91,15
2003,102,87,15
2003,113,100,13
2003,99,87,12
2003,108,98,10
2003,133,125,8
2003,96,80,16
2003,106,98,8
2003,124,112,12
2003,144,131,13
2003,119,104,15
2003,126,116,10
2003,113,98,15
2003,102,94,8
2003,97,91,6
2003,121,112,9
2003,115,108,7
2003,107,96,11
2003,113,105,8
2003,127,116,11
2003,113,100,13
2003,104,95,9
2003,92,87,5
2003,144,129,15
2003,107,98,9
2003,123,110,13
2003,127,115,12
2003,106,95,11
2003,118,105,13
2003,154,140,14
2003,120,110,10
2003,115,102,13
2003,114,103,11
2003,115,101,14
2003,122,108,14
2003,104,96,8
2003,122,108,14
2003,115,108,7
2003,111,100,11
2003,115,104,11
2003,114,100,14
2003,104,91,13
2003,137,124,13
2003,124,113,11
2003,112,98,14
2003,117,106,11
2003,97,84,13
2003,88,79,9
2003,98,86,12
2003,100,92,8
2003,109,98,11
2003,100,93,7
2003,113,102,11
2003,127,116,11
2003,91,84,7
2003,106,96,10
2003,99,90,9
2003,111,102,9
2003,104,90,14
2003,97,88,9
2003,88,81,7
2003,102,93,9
2003,98,93,5
2003,97,85,12
2003,85,76,9
2003,82,73,9
2003,102,96,6
2003,83,78,5
2003,102,94,8
2003,104,92,12
2003,119,105,14
2003,101,92,9
2003,121,109,12
2003,109,93,16
2003,107,98,9
2003,88,76,12
2003,102,98,4
2003,122,106,16
2003,114,105,9
2003,113,98,15
2003,103,94,9
2003,100,90,10
2003,89,78,11
2003,97,88,9
2003,104,94,10
2003,108,96,12
2003,98,92,6
2003,109,98,11
2003,84,75,9
2003,106,93,13
2003,95,83,12
2003,91,76,15
2003,86,76,10
2003,99,90,9
2003,84,73,11
2003,92,81,11
2003,92,83,9
2003,95,81,14
2003,92,85,7
2003,97,88,9
2003,117,107,10
2003,85,74,11
2003,68,64,4
2003,97,93,4
2003,88,81,7
2003,84,74,10
2003,94,85,9
2003,106,103,3
2003,91,81,10
2003,114,103,11
2003,94,85,9
2003,95,76,19
2003,94,86,8
2003,102,95,7
2003,82,73,9
2003,100,92,8
2003,100,87,13
2003,92,87,5
2003,99,94,5
2003,98,89,9
2003,100,87,13
2003,93,86,7
2003,98,84,14
2003,97,87,10
2003,115,101,14
2003,99,87,12
2003,90,78,12
2003,91,83,8
2003,112,107,5
2003,92,88,4
2003,86,77,9
2003,82,75,7
2003,87,77,10
2003,87,84,3
2003,90,79,11
2003,113,106,7
2003,100,92,8
2003,92,84,8
2003,82,72,10
2003,108,95,13
2003,95,84,11
2003,109,98,11
2003,100,90,10
2003,109,100,9
2003,99,89,10
2003,100,91,9
2003,94,83,11
2003,101,90,11
2003,100,92,8
2003,109,100,9
2003,91,79,12
2003,75,68,7
2003,92,87,5
2003,99,93,6
2003,94,80,14
2003,99,87,12
2003,86,72,14
2003,82,70,12
2003,104,87,17
2003,84,72,12
2003,88,81,7
2003,93,86,7
2003,101,94,7
2003,88,75,13
2003,88,73,15
2003,88,81,7
2003,91,78,13
2003,111,102,9
2003,91,81,10
2003,78,67,11
2003,107,96,11
2003,87,81,6
2003,91,84,7
2003,103,89,14
2003,89,76,13
2003,94,83,11
2003,105,93,12
2003,100,91,9
2003,127,116,11
2003,93,85,8
2003,91,82,9
2003,89,82,7
2003,91,83,8
2003,104,93,11
2003,96,82,14
2003,83,75,8
2003,82,78,4
2003,100,90,10
2003,91,83,8
2003,85,80,5
2003,94,81,13
2003,96,89,7
2003,84,71,13
2003,78,70,8
2003,115,105,10
2003,96,82,14
2003,106,98,8
2003,109,100,9
2003,81,73,8
2003,102,95,7
2003,114,104,10
2003,104,93,11
2003,96,80,16
2003,73,68,5
2003,96,88,8
2003,89,83,6
2003,96,85,11
2003,113,104,9
2003,88,85,3
2003,81,70,11
2003,97,90,7
2003,108,91,17
2003,100,87,13
2003,99,89,10
2003,99,93,6
2003,113,107,6
2003,113,104,9
2003,83,79,4
2003,86,79,7
2003,100,95,5
2003,109,96,13
2003,113,101,12
2003,108,103,5
2003,86,82,4
2003,119,107,12
2003,91,87,4
2003,94,84,10
2003,93,83,10
2003,93,88,5
2003,93,81,12
2003,96,87,9
2003,94,82,12
2003,116,95,21
2003,101,89,12
2003,99,89,10
2003,92,84,8
2003,107,95,12
2003,107,93,14
2003,77,67,10
2003,94,78,16
2003,94,83,11
2003,100,88,12
2003,96,90,6
2003,88,80,8
2003,118,106,12
2003,92,82,10
2003,105,92,13
2003,84,74,10
